train_loss,train_mse_loss,train_l1_loss,active_features,val_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.27503761649131775,0.10706557333469391,28.090612411499023,25.344539642333984,0.0,1733334478,,False,885,b91fe_00000,2024-12-04_17-47-58,3.285602569580078,3065.7834601402283,376,8eb6279495b3,172.19.2.2,3065.7834601402283,885
0.2713716924190521,0.10507674515247345,27.81014633178711,25.314735412597656,0.0,1733334484,,False,886,b91fe_00000,2024-12-04_17-48-04,6.482912540435791,3072.266372680664,376,8eb6279495b3,172.19.2.2,3072.266372680664,886
0.2731874883174896,0.10632394999265671,27.905235290527344,25.313669204711914,0.0,1733334486,,False,887,b91fe_00000,2024-12-04_17-48-06,2.1493980884552,3074.4157707691193,376,8eb6279495b3,172.19.2.2,3074.4157707691193,887
0.27001237869262695,0.1040719598531723,27.7508544921875,25.25215721130371,0.0,1733334487,,False,888,b91fe_00000,2024-12-04_17-48-07,0.8231186866760254,3075.2388894557953,376,8eb6279495b3,172.19.2.2,3075.2388894557953,888
0.2721199095249176,0.1055770143866539,27.851612091064453,25.27530288696289,0.0,1733334491,,False,889,b91fe_00000,2024-12-04_17-48-11,3.5387520790100098,3078.7776415348053,376,8eb6279495b3,172.19.2.2,3078.7776415348053,889
0.27461543679237366,0.1067182645201683,28.078094482421875,25.34341812133789,0.0,1733334500,,False,890,b91fe_00000,2024-12-04_17-48-20,9.149825096130371,3087.9274666309357,376,8eb6279495b3,172.19.2.2,3087.9274666309357,890
0.2757117450237274,0.10728709399700165,28.166305541992188,25.31822967529297,0.0,1733334501,,False,891,b91fe_00000,2024-12-04_17-48-21,0.8152401447296143,3088.7427067756653,376,8eb6279495b3,172.19.2.2,3088.7427067756653,891
0.2736002802848816,0.10648300498723984,27.94766616821289,25.24867057800293,0.0,1733334502,,False,892,b91fe_00000,2024-12-04_17-48-22,0.8134016990661621,3089.5561084747314,376,8eb6279495b3,172.19.2.2,3089.5561084747314,892
0.2726098299026489,0.1055288016796112,27.941608428955078,25.250213623046875,0.0,1733334506,,False,893,b91fe_00000,2024-12-04_17-48-26,4.049769639968872,3093.6058781147003,376,8eb6279495b3,172.19.2.2,3093.6058781147003,893
0.2733176648616791,0.10612725466489792,27.959897994995117,25.254798889160156,0.0,1733334511,,False,894,b91fe_00000,2024-12-04_17-48-31,5.568539381027222,3099.1744174957275,376,8eb6279495b3,172.19.2.2,3099.1744174957275,894
0.2734029293060303,0.10586506128311157,28.018003463745117,25.243696212768555,0.0,1733334512,,False,895,b91fe_00000,2024-12-04_17-48-32,0.8128125667572021,3099.9872300624847,376,8eb6279495b3,172.19.2.2,3099.9872300624847,895
0.2734161615371704,0.10607564449310303,27.98499870300293,25.217580795288086,0.0,1733334513,,False,896,b91fe_00000,2024-12-04_17-48-33,0.815117597579956,3100.8023476600647,376,8eb6279495b3,172.19.2.2,3100.8023476600647,896
0.2736743688583374,0.10587023198604584,28.06253433227539,25.212230682373047,0.0,1733334517,,False,897,b91fe_00000,2024-12-04_17-48-37,4.440373659133911,3105.2427213191986,376,8eb6279495b3,172.19.2.2,3105.2427213191986,897
0.27122578024864197,0.1048458144068718,27.824363708496094,25.157854080200195,0.0,1733334523,,False,898,b91fe_00000,2024-12-04_17-48-43,6.03652286529541,3111.279244184494,376,8eb6279495b3,172.19.2.2,3111.279244184494,898
